bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q6IQ20	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D		GO:0090336		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BH82,ensembl:ENSMUSP00000110872	PANTHER:PTHR15032	protein	UniProtKB:Q6IQ20	GO_REF:0000107	20250313	NAPEPLD	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:P01308	Insulin		GO:0090336		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR11454	protein	UniProtKB:P01308	PMID:11387233	20130111	INS	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q8NAU1	Fibronectin type III domain-containing protein 5		GO:0090336		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8K4Z2	PANTHER:PTHR14470	protein	UniProtKB:Q8NAU1	GO_REF:0000024	20120618	FNDC5	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q8NAU1	Fibronectin type III domain-containing protein 5		GO:0090336		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000375197,MGI:MGI:1917614	PANTHER:PTHR14470	protein		GO_REF:0000033	20170228	FNDC5	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q16539	Mitogen-activated protein kinase 14		GO:0090336		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P47811,ensembl:ENSMUSP00000004990	PANTHER:PTHR24055	protein	UniProtKB:Q16539	GO_REF:0000107	20250313	MAPK14	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q9UN79	Transcription factor SOX-13		GO:0090336		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q04891	PANTHER:PTHR45789	protein	UniProtKB:Q9UN79	GO_REF:0000024	20191212	SOX13	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q9UN79	Transcription factor SOX-13		GO:0090336		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q04891,ensembl:ENSMUSP00000119729	PANTHER:PTHR45789	protein	UniProtKB:Q9UN79	GO_REF:0000107	20250313	SOX13	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0090336		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q05769,ensembl:ENSMUSP00000035065	PANTHER:PTHR11903	protein	UniProtKB:P35354	GO_REF:0000107	20250313	PTGS2	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0090336		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:Q05769	PANTHER:PTHR11903	protein	UniProtKB:P35354	PMID:20448152	20110110	PTGS2	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q641Q3	Meteorin-like protein		GO:0090336		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8VE43	PANTHER:PTHR28593	protein	UniProtKB:Q641Q3	GO_REF:0000024	20140701	METRNL	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q641Q3	Meteorin-like protein		GO:0090336		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8VE43,ensembl:ENSMUSP00000038126	PANTHER:PTHR28593	protein	UniProtKB:Q641Q3	GO_REF:0000107	20250313	METRNL	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:Q641Q3	Meteorin-like protein		GO:0090336		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002822896,MGI:MGI:2384806	PANTHER:PTHR28593	protein		GO_REF:0000033	20190222	METRNL	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:P18075	Bone morphogenetic protein 7		GO:0090336		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR11848	protein	UniProtKB:P18075	PMID:27923061	20200120	BMP7	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
UniProtKB:P11309	Serine/threonine-protein kinase pim-1		GO:0090336		UniProt	NCBITaxon:9606	ISS	UniProtKB:P06803	PANTHER:PTHR22984	protein	UniProtKB:P11309	GO_REF:0000024	20191212	PIM1	Homo sapiens	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,regulation of biological process	biological regulation,biological_process,regulation of brown fat cell differentiation,positive regulation of brown fat cell differentiation,positive regulation of fat cell differentiation,positive regulation of cell differentiation,regulation of fat cell differentiation,fat cell differentiation,positive regulation of developmental process,positive regulation of biological process,cellular developmental process,cellular process,brown fat cell differentiation,regulation of developmental process,regulation of cellular process,regulation of cell differentiation,positive regulation of cellular process,cell differentiation,developmental process,regulation of biological process	positive regulation of brown fat cell differentiation			positive_regulation_of_brown_fat_cell_differentiation
