gene	term_general	term_specific	gene_id
RHO	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000163914
TRPM2	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000142185
DNAJA1	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000086061
IL1A	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000115008
HSP90AB1	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000096384
DNAJB1	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000132002
SCRN3	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000144306
UCP1	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000109424
HIKESHI	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000149196
TRPV4	Reactions to Temperatur - general	response_to_temperature_stimulus	ENSG00000111199
MME	HeatSchockProteins and their Tasks	DnaJ heat shock protein family (Hsp40) member B2-related Charcot-Marie-Tooth disease type 2 (disorder)	ENSG00000196549
DNAJB2	HeatSchockProteins and their Tasks	DnaJ heat shock protein family (Hsp40) member B2-related Charcot-Marie-Tooth disease type 2 (disorder)	ENSG00000135924
RYR1	Hyperthermia	Exercise-induced malignant hyperthermia	ENSG00000196218
ASPH	Hyperthermia	Exercise-induced malignant hyperthermia	ENSG00000198363
HSPA1A	Classic Heat Disorders	Heat Stress Disorders	ENSG00000204389
TNF	Classic Heat Disorders	Heat Stroke	ENSG00000232810
IL1B	Classic Heat Disorders	Heat Stroke	ENSG00000125538
IL6	Classic Heat Disorders	Heat Stroke	ENSG00000136244
IL10	Classic Heat Disorders	Heat Stroke	ENSG00000136634
IL1A	Classic Heat Disorders	Heat Stroke	ENSG00000115008
FOS	Classic Heat Disorders	Heat Stroke	ENSG00000170345
RELB	Classic Heat Disorders	Heat Stroke	ENSG00000104856
JUN	Classic Heat Disorders	Heat Stroke	ENSG00000177606
NFKB1	Classic Heat Disorders	Heat Stroke	ENSG00000109320
REL	Classic Heat Disorders	Heat Stroke	ENSG00000162924
ALPL	Classic Heat Disorders	Heat Stroke	ENSG00000162551
IL6R	Classic Heat Disorders	Heat Stroke	ENSG00000160712
IL11RA	Classic Heat Disorders	Heat Stroke	ENSG00000137070
NFKB2	Classic Heat Disorders	Heat Stroke	ENSG00000077150
RELA	Classic Heat Disorders	Heat Stroke	ENSG00000173039
RYR1	Classic Heat Disorders	Exertional heat stroke (disorder)	ENSG00000196218
TP63	Sweat and Body Fluids w/o Blood	Sweat Gland Neoplasms	ENSG00000073282
GATA5	Myocardial	Acute myocardial infarction	ENSG00000130700
DRAM1	Myocardial	Acute myocardial infarction	ENSG00000136048
IDH2	Myocardial	Acute myocardial infarction	ENSG00000182054
GP6	Myocardial	Acute myocardial infarction	ENSG00000088053
KIF6	Myocardial	Acute myocardial infarction	ENSG00000164627
CACNA1S	Hyperthermia	MALIGNANT HYPERTHERMIA,SUSCEPTIBILITY TO,5	ENSG00000081248
RYR1	Hyperthermia	Genetic susceptibility to malignant hyperthermia (finding)	ENSG00000196218
CACNA1S	Hyperthermia	Genetic susceptibility to malignant hyperthermia (finding)	ENSG00000081248
RYR1	Hyperthermia	Malignant hyperthermia susceptibility type 1	ENSG00000196218
CACNA1S	Hyperthermia	Malignant hyperthermia susceptibility type 1	ENSG00000081248
LOC129391106	Hyperthermia	Malignant hyperthermia susceptibility type 1	
LOC126862902	Hyperthermia	Malignant hyperthermia susceptibility type 1	
LOC130064350	Hyperthermia	Malignant hyperthermia susceptibility type 1	
LOC130064357	Hyperthermia	Malignant hyperthermia susceptibility type 1	
GPX1	Hyperthermia	Hyperthermia	ENSG00000233276
AVP	Classic Heat Disorders	Dehydration	ENSG00000101200
CLCN6	Temperatur Sensory and Dysregulation	Abnormality of temperature regulation	ENSG00000011021
SCN10A	Temperatur Sensory and Dysregulation	Impaired temperature sensation	ENSG00000185313
RALGAPA1	Temperatur Sensory and Dysregulation	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA,NEONATAL RESPIRATORY INSUFFICIENCY,AND THERMODYSREGULATION	ENSG00000174373
