disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Respiratory Tract Diseases;Pathological Conditions, Signs and Symptoms	0	Extracellular matrix organization	LOX	3	C0034067		33	R-HSA-1474244	0.65		ENSG00000113083		Pulmonary Emphysema	Abnormality of the respiratory system (02086)	0.91	1		1.0	disease			51		0.97953	23	lysyl oxidase			1	0	4015	protein-coding	P28300	0.43	Disease or Syndrome (T047)	
Respiratory Tract Diseases;Pathological Conditions, Signs and Symptoms	0		SRFBP1	3	C0034067		12		0.4		ENSG00000151304		Pulmonary Emphysema	Abnormality of the respiratory system (02086)	0.48	1			disease			53		6.6442E-11	23	serum response factor binding protein 1			0	0	153443	protein-coding	Q8NEF9	0.7	Disease or Syndrome (T047)	
Respiratory Tract Diseases;Pathological Conditions, Signs and Symptoms	0		DHX34	3	C0034067		12		0.4		ENSG00000134815		Pulmonary Emphysema	Abnormality of the respiratory system (02086)	0.57	1			disease			5	Enzyme	1.1919E-29	23	DExH-box helicase 34			0	0	9704	protein-coding	Q14147	0.74	Disease or Syndrome (T047)	
