bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:Q9NYG8	Potassium channel subfamily K member 4		GO:0097604		UniProt	NCBITaxon:9606	ISS	UniProtKB:G3V8V5	PANTHER:PTHR11003	protein	UniProtKB:Q9NYG8	GO_REF:0000024	20150213	KCNK4	Homo sapiens	temperature-gated cation channel activity		temperature-gated ion channel activity
UniProtKB:Q9NYG8	Potassium channel subfamily K member 4		GO:0097604		Ensembl	NCBITaxon:9606	IEA	UniProtKB:G3V8V5,ensembl:ENSRNOP00000028704	PANTHER:PTHR11003	protein	UniProtKB:Q9NYG8	GO_REF:0000107	20250313	KCNK4	Homo sapiens	temperature-gated cation channel activity		temperature-gated ion channel activity
UniProtKB:O75762	Transient receptor potential cation channel subfamily A member 1		GO:0097604		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24123	protein	UniProtKB:O75762	PMID:20547126	20150414	TRPA1	Homo sapiens	temperature-gated cation channel activity		temperature-gated ion channel activity
UniProtKB:Q8NER1	Transient receptor potential cation channel subfamily V member 1		GO:0097603		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q704Y3,ensembl:ENSMUSP00000099585	PANTHER:PTHR10582	protein	UniProtKB:Q8NER1	GO_REF:0000107	20250313	TRPV1	Homo sapiens	temperature-gated ion channel activity		temperature-gated ion channel activity
