symbol	name	term	group	hgnc_id	ensembl_gene_id
MICB	MHC class I polypeptide-related sequence B	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:7091	ENSG00000204516
ALDH18A1	aldehyde dehydrogenase 18 family member A1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:9722	ENSG00000059573
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5008	ENSG00000134240
HSPD1	heat shock protein family D (Hsp60) member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5261	ENSG00000144381
JUND	transcription factor jund	response_to_temperature_stimulus	Reactions to Temperatur - general		
HSPA2	heat shock protein family A (Hsp70) member 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5235	ENSG00000126803
GLRX2	glutaredoxin 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:16065	ENSG00000023572
PRDM12	PR/SET domain 12	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:13997	ENSG00000130711
FOXO1	forkhead box O1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3819	ENSG00000150907
EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3259	ENSG00000070785
THBS1	thrombospondin 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11785	ENSG00000137801
LYN	LYN proto-oncogene, Src family tyrosine kinase	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:6735	ENSG00000254087
HSP90AA1	heat shock protein 90 alpha family class A member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5253	ENSG00000080824
EPHB1	EPH receptor B1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3392	ENSG00000154928
RBBP7	RB binding protein 7, chromatin remodeling factor	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:9890	ENSG00000102054
CARTPT	cocaine- and amphetamine-regulated transcript protein	response_to_temperature_stimulus	Reactions to Temperatur - general		
HSBP1	heat shock factor binding protein 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5203	ENSG00000230989
PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:9376	ENSG00000132356
TRPA1	transient receptor potential cation channel subfamily A member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:497	ENSG00000104321
HSP90AB2P	heat shock protein 90 alpha family class B member 2, pseudogene	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:32537	ENSG00000205940
HSP90AB3P	heat shock protein 90 alpha family class B member 3, pseudogene	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5259	ENSG00000183199
HSP90AB4P	heat shock protein 90 alpha family class B member 4, pseudogene	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:32538	ENSG00000282100
ZNF516	zinc finger protein 516	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:28990	ENSG00000101493
SUMO1	small ubiquitin like modifier 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12502	ENSG00000116030
RNF34	ring finger protein 34	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:17297	ENSG00000170633
HDAC6	histone deacetylase 6	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14064	ENSG00000094631
SOD1	superoxide dismutase 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11179	ENSG00000142168
SAXO1	stabilizer of axonemal microtubules 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:28566	ENSG00000155875
APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:18242	ENSG00000136044
TRPV1	transient receptor potential cation channel subfamily V member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12716	ENSG00000196689
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14886	ENSG00000162616
MAPT	microtubule associated protein tau	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:6893	ENSG00000186868
SLC25A27	solute carrier family 25 member 27	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:21065	ENSG00000153291
PDCD6	programmed cell death 6	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:8765	ENSG00000249915
BAG3	BAG cochaperone 3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:939	ENSG00000151929
CLPB	ClpB family mitochondrial disaggregase	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:30664	ENSG00000162129
SCN11A	sodium voltage-gated channel alpha subunit 11	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:10583	ENSG00000168356
EIF2B4	eukaryotic translation initiation factor 2B subunit delta	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3260	ENSG00000115211
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11808	ENSG00000103423
NTSR1	neurotensin receptor 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:8039	ENSG00000101188
SLU7	spliceosome associated SLU7	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:16939	ENSG00000164609
TRPV2	transient receptor potential cation channel subfamily V member 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:18082	ENSG00000187688
TAC1	tachykinin precursor 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11517	ENSG00000006128
MMP24	matrix metallopeptidase 24	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:7172	ENSG00000125966
HSPA6	heat shock protein family A (Hsp70) member 6	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5239	ENSG00000173110
HSPB2	heat shock protein family B (small) member 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5247	ENSG00000170276
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:9380	ENSG00000072062
DHX36	DEAH-box helicase 36	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14410	ENSG00000174953
ANO1	anoctamin 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:21625	ENSG00000131620
GRIK2	glutamate ionotropic receptor kainate type subunit 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:4580	ENSG00000164418
IGF1	insulin like growth factor 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5464	ENSG00000017427
CXCL10	C-X-C motif chemokine ligand 10	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:10637	ENSG00000169245
HIKESHI	heat shock protein nuclear import factor hikeshi	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:26938	ENSG00000149196
TCIM	transcriptional and immune response regulator	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:1357	ENSG00000176907
STUB1	STIP1 homology and U-box containing protein 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11427	ENSG00000103266
DAXX	death domain associated protein	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:2681	ENSG00000204209
ZFAND1	zinc finger AN1-type containing 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:25858	ENSG00000104231
TRPM2	transient receptor potential cation channel subfamily M member 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12339	ENSG00000142185
CRYAA	crystallin alpha A	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:2388	ENSG00000160202
EEF1D	eukaryotic translation elongation factor 1 delta	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3211	ENSG00000104529
SLC9A1	solute carrier family 9 member A1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11071	ENSG00000090020
CRYAB	crystallin alpha B	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:2389	ENSG00000109846
ANO3	anoctamin 3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14004	ENSG00000134343
DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14884	ENSG00000069345
GMPR	guanosine monophosphate reductase	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:4376	ENSG00000137198
AQP1	aquaporin 1 (Colton blood group)	data.tsv	NO GROUP	HGNC:633	ENSG00000240583
CXCL12	C-X-C motif chemokine ligand 12	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:10672	ENSG00000107562
SCRN3	secernin 3	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:30382	ENSG00000144306
TAC4	tachykinin precursor 4	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:16641	ENSG00000176358
NTRK1	neurotrophic receptor tyrosine kinase 1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:8031	ENSG00000198400
SCN9A	sodium voltage-gated channel alpha subunit 9	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:10597	ENSG00000169432
PRDM12	PR/SET domain 12	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:13997	ENSG00000130711
EPHB1	EPH receptor B1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:3392	ENSG00000154928
CARTPT	cocaine- and amphetamine-regulated transcript protein	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature		
TRPV1	transient receptor potential cation channel subfamily V member 1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:12716	ENSG00000196689
SCN11A	sodium voltage-gated channel alpha subunit 11	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:10583	ENSG00000168356
NTSR1	neurotensin receptor 1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:8039	ENSG00000101188
TAC1	tachykinin precursor 1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:11517	ENSG00000006128
MMP24	matrix metallopeptidase 24	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:7172	ENSG00000125966
ANO1	anoctamin 1	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:21625	ENSG00000131620
GRIK2	glutamate ionotropic receptor kainate type subunit 2	detection_of_temperature_stimulus_involved_in_sensory_perception	Perception of Temperature	HGNC:4580	ENSG00000164418
BMP7	bone morphogenetic protein 7	data.tsv	NO GROUP	HGNC:1074	ENSG00000101144
PIM1	Pim-1 proto-oncogene, serine/threonine kinase	data.tsv	NO GROUP	HGNC:8986	ENSG00000137193
METRNL	meteorin like, glial cell differentiation regulator	data.tsv	NO GROUP	HGNC:27584	ENSG00000176845
INS	insulin	data.tsv	NO GROUP	HGNC:6081	ENSG00000254647
ZBTB7B	zinc finger and BTB domain containing 7B	data.tsv	NO GROUP	HGNC:18668	ENSG00000160685
FFAR4	free fatty acid receptor 4	data.tsv	NO GROUP	HGNC:19061	ENSG00000186188
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	data.tsv	NO GROUP	HGNC:21683	ENSG00000161048
SOX13	SRY-box transcription factor 13	data.tsv	NO GROUP	HGNC:11192	ENSG00000143842
SIX1	SIX homeobox 1	data.tsv	NO GROUP	HGNC:10887	ENSG00000126778
RREB1	ras responsive element binding protein 1	data.tsv	NO GROUP	HGNC:10449	ENSG00000124782
HNRNPU	heterogeneous nuclear ribonucleoprotein U	data.tsv	NO GROUP	HGNC:5048	ENSG00000153187
FNDC5	fibronectin type III domain containing 5	data.tsv	NO GROUP	HGNC:20240	ENSG00000160097
