bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P35869	Aryl hydrocarbon receptor		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10649	protein	UniProtKB:P35869	PMID:9079689	20080522	AHR	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:C0HMA1	HSPA8-interacting micropeptide miPEP155		GO:0030544		UniProt	NCBITaxon:9606	IPI	UniProtKB:P11142		protein	UniProtKB:C0HMA1	PMID:32671205	20231002	MIR155HG	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:O95568	Histidine protein methyltransferase 1 homolog		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR14614	protein	UniProtKB:O95568	PMID:23349634	20170523	METTL18	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:O95568	Histidine protein methyltransferase 1 homolog		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR14614	protein	UniProtKB:O95568	PMID:23349634	20170523	METTL18	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:O95568	Histidine protein methyltransferase 1 homolog		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P0DMV8	PANTHER:PTHR14614	protein	UniProtKB:O95568	PMID:23349634	20170523	METTL18	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:O95568	Histidine protein methyltransferase 1 homolog		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P0DMV9	PANTHER:PTHR14614	protein	UniProtKB:O95568	PMID:23349634	20170523	METTL18	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BK64,ensembl:ENSMUSP00000021425	PANTHER:PTHR13009	protein	UniProtKB:O95433	GO_REF:0000107	20250313	AHSA1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00089745	PANTHER:PTHR13009	protein	UniProtKB:O95433	GO_REF:0000117	20250428	AHSA1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR13009	protein	UniProtKB:O95433	PMID:29127155	20180306	AHSA1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:Q0VDF9	Heat shock 70 kDa protein 14		GO:0031072		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:Q8IB24,RGD:1311806,UniProtKB:P0DMV8,UniProtKB:P17066,UniProtKB:P11142,UniProtKB:K7NTP5,UniProtKB:P0DMV9,UniProtKB:P34931	PANTHER:PTHR19375	protein		GO_REF:0000033	20230603	HSPA14	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
