bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
ComplexPortal:CPX-2808	Coagulation factor VIIa - tissue factor complex		GO:0002543		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:18640965	20241126	f3-f7_human	Homo sapiens	activation of blood coagulation via clotting cascade		activation_of_blood_coagulation_via_clotting_cascade
UniProtKB:P13726	Tissue factor		GO:0002543		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR20859	protein	UniProtKB:P13726	PMID:17469850	20250115	F3	Homo sapiens	activation of blood coagulation via clotting cascade		activation_of_blood_coagulation_via_clotting_cascade
UniProtKB:Q4KMQ2	Anoctamin-6		GO:0002543		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR12308	protein	UniProtKB:Q4KMQ2	PMID:21107324	20110406	ANO6	Homo sapiens	activation of blood coagulation via clotting cascade		activation_of_blood_coagulation_via_clotting_cascade
