disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Chemically-Induced Disorders;Nutritional and Metabolic Diseases	0	Signal Transduction	OXT	2	C0043049	1985	38	R-HSA-162582	0.4		ENSG00000101405		Water Intoxication		0.96	0		1.0	disease			1	Signaling	1.9937E-6	0	oxytocin/neurophysin I prepropeptide	1970		0	8	5020	protein-coding	P01178	0.43	Disease or Syndrome (T047)	
Chemically-Induced Disorders;Nutritional and Metabolic Diseases	0	Signal Transduction	UTS2	2	C0043049	2005	7	R-HSA-162582	0.4		ENSG00000049247		Water Intoxication		0.87	0		1.0	disease			8		0.002824	0	urotensin 2	2005		0	1	10911	protein-coding	O95399	0.52	Disease or Syndrome (T047)	
