disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Cardiovascular Diseases;Nervous System Diseases	0	Hemostasis,Metabolism of proteins	SERPINC1	3	C0079102	1983	24	R-HSA-109582,R-HSA-392499	0.6		ENSG00000117601		Cerebral Thrombosis		0.87	0		1.0	disease	disease of anatomical entity (7)		218	Enzyme modulator	0.99864	0	serpin family C member 1	1983		1	1	462	protein-coding	P01008	0.43	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Hemostasis,Signal Transduction	PLAT	3	C0079102	1996	92	R-HSA-109582,R-HSA-162582	0.4		ENSG00000104368		Cerebral Thrombosis		0.96	0		1.0	disease	disease of anatomical entity (7)		6	Enzyme	5.9432E-7	0	plasminogen activator, tissue type	1996		0	1	5327	protein-coding	P00750	0.38	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Hemostasis,Extracellular matrix organization,Signal Transduction,Disease	VWF	3	C0079102	1987	42	R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-1643685	0.4		ENSG00000110799		Cerebral Thrombosis		0.96	0		1.0	disease	disease of anatomical entity (7)		643	Enzyme modulator	4.5035E-27	0	von Willebrand factor	1987		0	1	7450	protein-coding	P04275	0.35	Disease or Syndrome (T047)	
