disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Pathological Conditions, Signs and Symptoms	0	Transport of small molecules,Muscle contraction	RYR1	6	C2930980	2024	70	R-HSA-382551,R-HSA-397014	0.95		ENSG00000196218		Malignant hyperthermia susceptibility type 1		0.91	2502		0.9935483870967742	phenotype		Definitive	2791	Ion channel	1.7594E-56	2504	ryanodine receptor 1	1988		1	291	6261	protein-coding	P21817	0.43	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Developmental Biology	CACNA1S	6	C2930980	2021	18	R-HSA-1266738	0.65		ENSG00000081248		Malignant hyperthermia susceptibility type 1		0.87	1		1.0	phenotype			1248	Ion channel	5.7202E-18	2504	calcium voltage-gated channel subunit alpha1 S	1993		0	3	779	protein-coding	Q13698	0.55	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0		LOC129391106	6	C2930980	2021	7		0.4				Malignant hyperthermia susceptibility type 1		0.17	0		1.0	phenotype			0			2504	MPRA-validated peak3472 silencer	1993		0	12	129391106	biological-region		0.85	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0		LOC126862902	6	C2930980	2022	9		0.4				Malignant hyperthermia susceptibility type 1		0.17	0		1.0	phenotype			0			2504	BRD4-independent group 4 enhancer GRCh37_chr19:38995830-38997029	1993		0	5	126862902	biological-region		0.82	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0		LOC130064350	6	C2930980	2021	3		0.4				Malignant hyperthermia susceptibility type 1		0.17	0		1.0	phenotype			0			2504	ATAC-STARR-seq lymphoblastoid silent region 10575	1993		0	3	130064350	biological-region		0.93	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0		LOC130064357	6	C2930980	2021	6		0.4				Malignant hyperthermia susceptibility type 1		0.17	0		1.0	phenotype			0			2504	ATAC-STARR-seq lymphoblastoid silent region 10577	1993		0	3	130064357	biological-region		0.85	Finding (T033)	
