disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
	0	Developmental Biology,Signal Transduction,Disease,Immune System,Vesicle-mediated transport,Sensory Perception	MYH9	3	C1096367		46	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-5653656,R-HSA-9709957	0.45		ENSG00000100345		Increased mean platelet volume	Abnormality of blood and blood-forming tissues (01871)	0.87	1			phenotype			400		1.0	2	myosin heavy chain 9			0	0	4627	protein-coding	P35579	0.46	Finding (T033)	
	0	Hemostasis,Disease	GP1BB	3	C1096367	2020	16	R-HSA-109582,R-HSA-1643685	0.4		ENSG00000203618		Increased mean platelet volume	Abnormality of blood and blood-forming tissues (01871)	0.83	1		1.0	phenotype			50		0.010401	2	glycoprotein Ib platelet subunit beta	2020		0	1	2812	protein-coding	P13224	0.52	Finding (T033)	
	0		SEPT5-GP1BB	3	C1096367	2020	7		0.4		ENSG00000284874		Increased mean platelet volume	Abnormality of blood and blood-forming tissues (01871)	0.26	1		1.0	phenotype			50			2	SEPT5-GP1BB readthrough	2020		0	1	100526833	ncRNA		0.78	Finding (T033)	
