bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q9Y6I7	WD repeat and SOCS box-containing protein 1		GO:0140454		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O54927,ensembl:ENSMUSP00000017821	PANTHER:PTHR15622	protein	UniProtKB:Q9Y6I7	GO_REF:0000107	20250313	WSB1	Homo sapiens	biological_process,cellular component biogenesis,cellular component assembly,protein aggregate center assembly,cellular component organization,cellular component organization or biogenesis,cellular process	biological_process,cellular component biogenesis,cellular component assembly,protein aggregate center assembly,cellular component organization,cellular component organization or biogenesis,cellular process	protein aggregate center assembly			protein_aggregate_center_assembly
UniProtKB:Q9HCE0	Ectopic P granules protein 5 homolog		GO:0140454		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q80TA9,ensembl:ENSMUSP00000038681	PANTHER:PTHR31139	protein	UniProtKB:Q9HCE0	GO_REF:0000107	20250313	EPG5	Homo sapiens	biological_process,cellular component biogenesis,cellular component assembly,protein aggregate center assembly,cellular component organization,cellular component organization or biogenesis,cellular process	biological_process,cellular component biogenesis,cellular component assembly,protein aggregate center assembly,cellular component organization,cellular component organization or biogenesis,cellular process	protein aggregate center assembly			protein_aggregate_center_assembly
