disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Hemostasis	GATA5	5	C0155626		32	R-HSA-109582	0.55		ENSG00000130700		Acute myocardial infarction		0.7	0		1.0	disease	disease of anatomical entity (7)		28		3.5589E-11	8	GATA binding protein 5			0	0	140628	protein-coding	Q9BWX5	0.53	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0		DRAM1	5	C0155626		1		0.55		ENSG00000136048		Acute myocardial infarction		0.78	0		1.0	disease	disease of anatomical entity (7)		3		0.0036762	8	DNA damage regulated autophagy modulator 1			0	0	55332	protein-coding	Q8N682	0.62	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Metabolism,Organelle biogenesis and maintenance,Metabolism of proteins	IDH2	5	C0155626		51	R-HSA-1430728,R-HSA-1852241,R-HSA-392499	0.5		ENSG00000182054		Acute myocardial infarction		0.87	3		1.0	disease	disease of anatomical entity (7)		93		0.97883	8	isocitrate dehydrogenase (NADP(+)) 2			0	0	3418	protein-coding	P48735	0.44	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Hemostasis	GP6	5	C0155626		11	R-HSA-109582	0.5		ENSG00000088053		Acute myocardial infarction		0.83	0		1.0	disease	disease of anatomical entity (7)		10	Receptor	1.0028E-15	8	glycoprotein VI platelet			0	0	51206	protein-coding	Q9HCN6	0.54	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Hemostasis,Vesicle-mediated transport	KIF6	5	C0155626		10	R-HSA-109582,R-HSA-5653656	0.45		ENSG00000164627		Acute myocardial infarction		0.7	0		1.0	disease	disease of anatomical entity (7)		12	Cellular structure	4.0425E-17	8	kinesin family member 6			0	0	221458	protein-coding	Q6ZMV9	0.61	Disease or Syndrome (T047)	
