bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:C9JCN9	Heat shock factor-binding protein 1-like protein 1		GO:0070370		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000454531,TAIR:locus:1005716315	PANTHER:PTHR19424	protein		GO_REF:0000033	20170509	HSBP1L1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:P17066	Heat shock 70 kDa protein 6	not	GO:0070370		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR19375	protein	UniProtKB:P17066	PMID:21231916	20140404	HSPA6	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:Q16576	Histone-binding protein RBBP7		GO:0070370		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22850	protein	UniProtKB:Q16576	PMID:7503932	20091207	RBBP7	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:O75506	Heat shock factor-binding protein 1		GO:0070370		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000454531,TAIR:locus:1005716315	PANTHER:PTHR19424	protein		GO_REF:0000033	20170509	HSBP1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0070370		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00085201	PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	GO_REF:0000117	20250428	HSPA1A	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0070370		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	PMID:21231916	20150618	HSPA1A	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0070370		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00085201	PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	GO_REF:0000117	20250428	HSPA1B	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0070370		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	PMID:21231916	20150618	HSPA1B	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			heat_acclimation
