bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:Q9NYG8	Potassium channel subfamily K member 4		GO:0071502		UniProt	NCBITaxon:9606	ISS	UniProtKB:G3V8V5	PANTHER:PTHR11003	protein	UniProtKB:Q9NYG8	GO_REF:0000024	20150213	KCNK4	Homo sapiens	cellular response to temperature stimulus		cellular_response_to_temperature_stimulus
UniProtKB:Q9NYG8	Potassium channel subfamily K member 4		GO:0071502		Ensembl	NCBITaxon:9606	IEA	UniProtKB:G3V8V5,ensembl:ENSRNOP00000028704	PANTHER:PTHR11003	protein	UniProtKB:Q9NYG8	GO_REF:0000107	20250313	KCNK4	Homo sapiens	cellular response to temperature stimulus		cellular_response_to_temperature_stimulus
UniProtKB:O94759	Transient receptor potential cation channel subfamily M member 2		GO:0071502		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q91YD4	PANTHER:PTHR13800	protein	UniProtKB:O94759	GO_REF:0000024	20160915	TRPM2	Homo sapiens	cellular response to temperature stimulus		cellular_response_to_temperature_stimulus
UniProtKB:O94759	Transient receptor potential cation channel subfamily M member 2		GO:0071502		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q91YD4,ensembl:ENSMUSP00000101040	PANTHER:PTHR13800	protein	UniProtKB:O94759	GO_REF:0000107	20250313	TRPM2	Homo sapiens	cellular response to temperature stimulus		cellular_response_to_temperature_stimulus
