bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P49748	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial		GO:0001659		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P50544	PANTHER:PTHR43884	protein	UniProtKB:P49748	GO_REF:0000024	20091127	ACADVL	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P49748	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50544,ensembl:ENSMUSP00000099634	PANTHER:PTHR43884	protein	UniProtKB:P49748	GO_REF:0000107	20250313	ACADVL	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P20800	Endothelin-2		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P22389,ensembl:ENSMUSP00000030384	PANTHER:PTHR13874	protein	UniProtKB:P20800	GO_REF:0000107	20250313	EDN2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P07203	Glutathione peroxidase 1		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P11352,ensembl:ENSMUSP00000081010	PANTHER:PTHR11592	protein	UniProtKB:P07203	GO_REF:0000107	20250313	GPX1	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P20393	Nuclear receptor subfamily 1 group D member 1		GO:0060086		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q3UV55	PANTHER:PTHR24082	protein	UniProtKB:P20393	GO_REF:0000024	20131201	NR1D1	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:P20393	Nuclear receptor subfamily 1 group D member 1		GO:0060086		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q3UV55,ensembl:ENSMUSP00000069505	PANTHER:PTHR24082	protein	UniProtKB:P20393	GO_REF:0000107	20250313	NR1D1	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0060086		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35305,ensembl:ENSMUSP00000027559	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	GO_REF:0000107	20250313	TNFRSF11A	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0060086		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O35305	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	PMID:19940926	20100611	TNFRSF11A	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2		GO:0106106		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q5SF07,ensembl:ENSMUSP00000097629	PANTHER:PTHR10288	protein	UniProtKB:Q9Y6M1	GO_REF:0000107	20250313	IGF2BP2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,metabolic process,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,cellular process,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,metabolic process,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,cellular process,multicellular organismal process	cold-induced thermogenesis			temperature_homeostasis
UniProtKB:P07550	Beta-2 adrenergic receptor		GO:0031649		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P18762,ensembl:ENSMUSP00000062256	PANTHER:PTHR24248	protein	UniProtKB:P07550	GO_REF:0000107	20250313	ADRB2	Homo sapiens	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation			temperature_homeostasis
