disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Pathological Conditions, Signs and Symptoms;Cardiovascular Diseases	0	Hemostasis,Disease,Immune System,Protein localization	NOS2	4	C0206146	2002	86	R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507	0.4		ENSG00000007171		Myocardial Stunning		0.96	0		1.0	disease	disease of anatomical entity (7)		18		1.9486E-22	0	nitric oxide synthase 2	2002		0	1	4843	protein-coding	P35228	0.34	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Cardiovascular Diseases	0		TNF	4	C0206146	2002	310		0.4		ENSG00000232810		Myocardial Stunning		1.0	0		1.0	disease	disease of anatomical entity (7)		9	Signaling	0.85687	0	tumor necrosis factor	2002		0	1	7124	protein-coding	P01375	0.23	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Cardiovascular Diseases	0	Transport of small molecules,Muscle contraction	PLN	4	C0206146	2006	17	R-HSA-382551,R-HSA-397014	0.4		ENSG00000198523		Myocardial Stunning		0.74	0		1.0	disease	disease of anatomical entity (7)		79		0.41734	0	phospholamban	2006		0	1	5350	protein-coding	P26678	0.57	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Cardiovascular Diseases	0	Hemostasis,Signal Transduction,Transport of small molecules,Muscle contraction	ATP2A2	4	C0206146	2006	20	R-HSA-109582,R-HSA-162582,R-HSA-382551,R-HSA-397014	0.4		ENSG00000174437		Myocardial Stunning		0.91	0		1.0	disease	disease of anatomical entity (7)		79	Transporter	1.0	0	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	2006		0	1	488	protein-coding	P16615	0.48	Disease or Syndrome (T047)	
