bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P34931	Heat shock 70 kDa protein 1-like		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA1L	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P07900	Heat shock protein HSP 90-alpha		GO:0042026		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR11528	protein	UniProtKB:P07900	PMID:9660753	20040319	HSP90AA1	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P54652	Heat shock-related 70 kDa protein 2		GO:0042026		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00043587	PANTHER:PTHR19375	protein	UniProtKB:P54652	GO_REF:0000117	20250428	HSPA2	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P54652	Heat shock-related 70 kDa protein 2		GO:0042026		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P54652	PMID:21231916	20140403	HSPA2	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P54652	Heat shock-related 70 kDa protein 2		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA2	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P11021	Endoplasmic reticulum chaperone BiP		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA5	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P17066	Heat shock 70 kDa protein 6		GO:0042026		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00043587	PANTHER:PTHR19375	protein	UniProtKB:P17066	GO_REF:0000117	20250428	HSPA6	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P17066	Heat shock 70 kDa protein 6		GO:0042026	"{""relationship"": {""relation"": [{""id"": ""RO:0002233""\, ""label"": ""has input""}]\, ""id"": ""UniProtKB:P04637""\, ""label"": ""UniProtKB:P04637""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P17066	PMID:21231916	20140404	HSPA6	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P17066	Heat shock 70 kDa protein 6		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA6	Homo sapiens	protein refolding		protein_refolding
UniProtKB:Q16082	Heat shock protein beta-2		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000897708,FB:FBgn0001226,FB:FBgn0011296,FB:FBgn0031037,FB:FBgn0035817,FB:FBgn0001225,FB:FBgn0001224	PANTHER:PTHR45640	protein		GO_REF:0000033	20220316	HSPB2	Homo sapiens	protein refolding		protein_refolding
